"FunctionName,Environment,InvocationsPerMonth,AvgDurationMs,MemoryMB,ColdStartRate,ProvisionedConcurrency,GBSeconds,DataTransferGB,CostUSD"
"user-activity-collector-prod,production,1800000,65,256,0.00,2,30.50,90,47.80"
"user-activity-collector-dev,development,240000,75,256,0.02,0,3.65,12,5.50"
"session-writer-prod,production,3200000,40,128,0.00,0,16.38,110,52.40"
"session-writer-dev,development,300000,55,128,0.01,0,1.76,15,3.90"
"payments-validator-prod,production,150000,450,512,0.01,1,11.52,50,24.20"
"payments-validator-staging,staging,40000,500,512,0.03,0,2.68,10,5.70"
"qr-code-generator-prod,production,250000,800,1024,0.05,0,19.20,35,26.80"
"qr-code-generator-dev,development,30000,900,1024,0.07,0,2.76,8,4.70"
"webhook-relay-prod,production,900000,110,256,0.00,2,25.07,40,41.30"
"webhook-relay-dev,development,120000,125,256,0.02,0,3.84,10,6.20"
"email-parser-prod,production,620000,230,512,0.01,0,22.84,30,34.50"
"email-parser-staging,staging,90000,260,512,0.03,0,3.75,5,7.10"
"product-feed-generator-prod,production,48000,7000,2048,0.00,1,28.67,50,38.50"
"product-feed-generator-dev,development,12000,6500,2048,0.00,0,5.10,8,9.20"
"cart-recommender-prod,production,900000,850,3072,0.04,3,123.40,100,162.80"
"cart-recommender-staging,staging,180000,900,3072,0.06,0,25.82,20,31.40"
"batch-invoice-parser-prod,production,8000,24000,1024,0.00,0,6.55,12,10.80"
"batch-invoice-parser-dev,development,2500,20000,1024,0.00,0,1.41,4,3.40"
"image-metadata-reader-prod,production,180000,350,512,0.01,0,14.60,25,21.90"
"image-metadata-reader-dev,development,45000,400,512,0.02,0,3.67,7,6.20"
"log-archive-cleaner-prod,production,3400,30000,512,0.00,0,2.09,2,4.80"
"log-archive-cleaner-dev,development,800,25000,512,0.00,0,0.44,1,1.60"
"document-tagging-ml-prod,production,90000,1800,4096,0.05,2,63.80,60,118.60"
"document-tagging-ml-dev,development,15000,1900,4096,0.07,0,10.92,15,19.40"
"usage-report-generator-prod,production,50000,8000,1536,0.00,1,24.57,30,28.70"
"usage-report-generator-dev,development,12000,7800,1536,0.00,0,6.20,8,7.90"
"forecasting-engine-prod,production,220000,1200,2048,0.03,3,72.60,40,94.30"
"forecasting-engine-staging,staging,45000,1300,2048,0.05,0,9.89,10,13.40"
"kpi-aggregator-prod,production,4800000,55,256,0.00,0,50.40,160,90.20"
"kpi-aggregator-dev,development,380000,70,256,0.01,0,3.90,10,7.60"
"customer-data-sanitizer-prod,production,140000,450,512,0.02,1,15.84,30,27.50"
"customer-data-sanitizer-dev,development,35000,500,512,0.03,0,3.60,5,6.10"
"alerts-engine-prod,production,2600000,85,512,0.00,2,108.20,95,140.10"
"alerts-engine-staging,staging,240000,95,512,0.02,0,10.55,15,16.40"
"checkout-session-cleaner-prod,production,90000,650,256,0.01,0,3.74,8,9.90"
"checkout-session-cleaner-dev,development,21000,700,256,0.02,0,0.92,3,3.10"
"policy-document-parser-prod,production,30000,20000,3072,0.00,0,18.43,25,29.10"
"policy-document-parser-dev,development,7000,17500,3072,0.00,0,4.22,5,6.90"
"thumbnail-regenerator-prod,production,120000,2200,1536,0.05,0,16.19,20,22.60"
"thumbnail-regenerator-dev,development,25000,2300,1536,0.06,0,3.69,4,5.40"
"feature-flag-sync-prod,production,1800000,40,128,0.00,2,9.83,60,22.40"
"feature-flag-sync-dev,development,250000,55,128,0.01,0,1.60,12,3.80"
"api-request-auditor-prod,production,3000000,35,128,0.00,0,17.92,150,58.30"
"api-request-auditor-dev,development,400000,50,128,0.01,0,2.11,20,6.50"
"push-token-updater-prod,production,1500000,100,256,0.00,5,38.40,80,48.90"
"push-token-updater-staging,staging,220000,110,256,0.01,0,4.03,15,8.90"
"orders-archive-writer-prod,production,54000,12000,1024,0.00,1,8.10,20,15.60"
"orders-archive-writer-dev,development,12000,11000,1024,0.00,0,1.75,4,4.50"
"pdf-watermark-service-prod,production,95000,2800,2048,0.04,0,18.13,30,30.10"
"pdf-watermark-service-dev,development,22000,2600,2048,0.05,0,4.67,6,7.10"
"session-enrichment-prod,production,2700000,90,512,0.00,2,124.11,120,155.20"
"session-enrichment-dev,development,350000,100,512,0.01,0,12.37,12,16.50"
"profile-image-cleaner-prod,production,68000,1500,1024,0.03,0,10.45,12,14.90"
"profile-image-cleaner-dev,development,14000,1600,1024,0.04,0,2.03,3,4.10"
"sms-dispatch-queue-prod,production,420000,180,256,0.01,1,19.66,40,24.40"
"sms-dispatch-queue-dev,development,70000,200,256,0.02,0,2.14,6,5.40"
"data-quality-checker-prod,production,120000,900,1024,0.02,0,18.43,22,23.90"
"data-quality-checker-dev,development,25000,950,1024,0.03,0,3.52,5,6.20"
"inventory-scheduler-prod,production,90000,3500,2048,0.01,1,25.34,18,29.10"
"inventory-scheduler-dev,development,15000,3600,2048,0.02,0,4.73,4,6.70"
"tax-rules-updater-prod,production,22000,14000,1024,0.00,0,3.31,10,7.20"
"tax-rules-updater-dev,development,6000,13000,1024,0.00,0,0.82,2,2.60"
"metrics-rollup-daily-prod,production,250000,1750,1536,0.02,1,30.80,30,36.10"
"metrics-rollup-daily-dev,development,50000,1800,1536,0.03,0,6.91,6,8.50"
"fraud-alert-dispatcher-prod,production,780000,160,512,0.00,3,65.70,80,81.30"
"fraud-alert-dispatcher-dev,development,120000,170,512,0.01,0,6.45,12,12.90"
"analytics-exporter-prod,production,100000,6500,1536,0.00,1,38.39,50,46.20"
"analytics-exporter-dev,development,23000,6200,1536,0.00,0,7.68,8,10.10"
"geo-reverse-lookup-prod,production,320000,550,1024,0.03,0,28.09,70,32.80"
"geo-reverse-lookup-dev,development,50000,600,1024,0.04,0,4.62,12,7.40"
"iot-signal-processor-prod,production,4500000,45,128,0.00,2,25.92,200,72.50"
"iot-signal-processor-dev,development,500000,55,128,0.01,0,3.52,25,9.40"
"shipment-tracking-updater-prod,production,880000,140,256,0.01,1,31.42,40,40.90"
"shipment-tracking-updater-dev,development,150000,150,256,0.02,0,4.83,8,7.80"
"recommendation-preloader-prod,production,550000,1800,3072,0.03,2,148.20,70,165.30"
"recommendation-preloader-dev,development,90000,1900,3072,0.04,0,23.20,12,20.80"
"content-moderation-prod,production,2200000,95,512,0.01,2,108.90,120,140.30"
"content-moderation-staging,staging,320000,110,512,0.02,0,16.80,20,20.10"
"image-resize-prod,production,250000,180,512,0.02,0,23.04,120,42.80"
"image-resize-dev,development,35000,200,512,0.05,0,3.58,15,6.20"
"api-handler-prod,production,980000,95,256,0.01,5,23.88,60,51.40"
"api-handler-staging,staging,180000,110,256,0.03,0,5.06,10,8.90"
"etl-transform-daily,production,30,45000,3008,0.00,1,4.05,3,17.60"
"etl-transform-hourly,production,720,12000,1024,0.00,0,8.85,20,12.30"
"log-processor-prod,production,5000000,45,128,0.00,0,28.80,220,65.10"
"log-processor-dev,development,400000,55,128,0.01,0,2.81,25,7.40"
"fraud-detection-ml,production,150000,900,4096,0.04,3,55.30,40,112.90"
"recommendation-engine-prod,production,300000,750,2048,0.02,5,45.90,85,90.20"
"auth-service-prod,production,4500000,40,128,0.00,10,25.60,95,70.50"
"billing-pipeline,production,12000,15000,1024,0.00,0,12.29,10,14.40"
"video-thumbnailer,production,80000,3000,1536,0.08,0,11.52,50,22.80"
"notification-dispatcher,production,700000,60,256,0.01,0,10.75,18,19.90"
"notification-dispatcher-dev,development,35000,75,256,0.03,0,0.79,5,2.40"
"backup-cleaner,production,60,60000,512,0.00,0,1.84,1,5.70"
